CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;RangeObj_Plan;CDR_DTR_Plan;Non-Critical_Error_Target_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;BurnRate_Planned_S0;Critical_Error_Target_Plan;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;3.336000000000002;2402.2751999999964;5200.0;0.0;8.040000000000001;3.336000000000002;0.0;9508.51519999998;0.0;0.0;2.553240000000005;1.41;1.33;0.3240000000000002;0.52;3.52;3.1199999999999983;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.639999999999986;1.0;1240.0;7156.240000000005;6.78;7.920000000000001;
1.0;3.4750000000000023;2402.3699999999963;5200.0;0.0;8.375000000000002;3.4750000000000023;0.0;9508.869999999979;0.0;0.0;2.5533750000000053;1.41;1.33;0.3375000000000002;0.52;3.52;3.2499999999999982;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.749999999999986;1.0;1240.0;7156.5000000000055;6.78;8.25;
1.0;3.6140000000000025;2402.464799999996;5200.0;0.0;8.710000000000003;3.6140000000000025;0.0;9509.224799999978;0.0;0.0;2.5535100000000055;1.41;1.33;0.3510000000000002;0.52;3.52;3.379999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.859999999999985;1.0;1240.0;7156.760000000006;6.78;8.58;
1.0;3.753000000000003;2402.559599999996;5200.0;0.0;9.045000000000003;3.753000000000003;0.0;9509.579599999977;0.0;0.0;2.5536450000000057;1.41;1.33;0.3645000000000002;0.52;3.52;3.509999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;17.969999999999985;1.0;1240.0;7157.020000000006;6.78;8.91;
1.0;3.892000000000003;2402.654399999996;5200.0;0.0;9.380000000000004;3.892000000000003;0.0;9509.934399999976;0.0;0.0;2.553780000000006;1.41;1.33;0.3780000000000002;0.52;3.52;3.639999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.079999999999984;1.0;1240.0;7157.280000000006;6.78;9.24;
1.0;4.031000000000003;2402.7491999999957;5200.0;0.0;9.715000000000005;4.031000000000003;0.0;9510.289199999976;0.0;0.0;2.553915000000006;1.41;1.33;0.39150000000000024;0.52;3.52;3.769999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.189999999999984;1.0;1240.0;7157.540000000006;6.78;9.57;
1.0;4.1700000000000035;2402.8439999999955;5200.0;0.0;10.050000000000006;4.1700000000000035;0.0;9510.643999999975;25.0;0.0;2.5540500000000064;1.41;1.33;0.40500000000000025;0.52;3.52;3.8999999999999977;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.299999999999983;1.0;1240.0;7157.800000000007;6.78;9.9;
1.0;4.309000000000004;2402.9387999999954;5200.0;0.0;10.385000000000007;4.309000000000004;0.0;9510.998799999974;25.0;0.0;2.5541850000000066;1.41;1.33;0.41850000000000026;0.52;3.52;4.029999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.409999999999982;1.0;1240.0;7158.060000000007;6.78;10.23;
1.0;4.448000000000004;2403.033599999995;5200.0;0.0;10.720000000000008;4.448000000000004;0.0;9511.353599999973;25.0;0.0;2.554320000000007;1.41;1.33;0.4320000000000003;0.52;3.52;4.1599999999999975;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.519999999999982;1.0;1240.0;7158.320000000007;6.78;10.56;
1.0;4.587000000000004;2403.128399999995;5200.0;0.0;11.055000000000009;4.587000000000004;0.0;9511.708399999972;25.0;0.0;2.554455000000007;1.41;1.33;0.4455000000000003;0.52;3.52;4.289999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;18.62999999999998;1.0;1240.0;7158.580000000007;6.78;10.89;
